product_id,reg_date,created_by,category,name,product_status,image01,image02,image03,stock,price,description
26,2023-08-15,GOMDORI,CAKE,초콜릿 케익,SOLD_OUT,/images/image/chocolate_cake_01.png,,,100,6000,쥬스는 과일이나 채소를 갈아서 추출한 음료를 말합니다. 오렌지 주스 사과 주스 포도 주스 등 다양한 종류가 있으며 신선하고 천연적인 맛이 특징입니다.
27,1980-07-17,GOMDORI,BREAD,치아바타01,SOLD_OUT,/images/image/ciabatta_01.png,/images/image/ciabatta_06.png,/images/image/ciabatta_07.png,100,5000,초콜릿 케익은 주로 초콜릿을 주 재료로 사용하여 만든 달콤하고 부드러운 케이크로 다양한 형태와 스타일이 존재합니다.
28,1990-12-22,GOMDORI,BREAD,치아바타02,SOLD_OUT,/images/image/ciabatta_02.png,,,100,4000,치아바타는 이탈리아에서 유래한 빵으로 폭이 넓고 길게 늘어진 모양과 부드러운 내면이 특징입니다. 외부는 바삭하고 내면은 쫀득하게 구워집니다.
29,1990-12-22,GOMDORI,BREAD,치아바타03,SOLD_OUT,/images/image/ciabatta_03.png,,,100,3000,치아바타는 이탈리아에서 유래한 빵으로 폭이 넓고 길게 늘어진 모양과 부드러운 내면이 특징입니다. 외부는 바삭하고 내면은 쫀득하게 구워집니다.
30,1980-07-26,GOMDORI,BREAD,치아바타04,SOLD_OUT,/images/image/ciabatta_04.png,,,100,6000,치아바타는 이탈리아에서 유래한 빵으로 폭이 넓고 길게 늘어진 모양과 부드러운 내면이 특징입니다. 외부는 바삭하고 내면은 쫀득하게 구워집니다.
31,1990-12-22,GOMDORI,BREAD,브리오슈04,SELL,/images/image/brioche_04.png,,,100,4000,브리오슈는 프랑스에서 유래한 부드럽고 달콤한 빵으로 풍부한 양의 버터와 계란이 사용되어 부드러운 식감과 풍미를 제공합니다.
32,1990-12-22,GOMDORI,BREAD,브리오슈05,SELL,/images/image/brioche_05.png,,,100,3000,브리오슈는 프랑스에서 유래한 부드럽고 달콤한 빵으로 풍부한 양의 버터와 계란이 사용되어 부드러운 식감과 풍미를 제공합니다.
33,2023-06-02,GOMDORI,BREAD,치아바타05,SOLD_OUT,/images/image/ciabatta_05.png,,,100,5000,치아바타는 이탈리아에서 유래한 빵으로 폭이 넓고 길게 늘어진 모양과 부드러운 내면이 특징입니다. 외부는 바삭하고 내면은 쫀득하게 구워집니다.
34,1995-05-04,GOMDORI,BREAD,치아바타06,SOLD_OUT,/images/image/ciabatta_06.png,,,100,4000,치아바타는 이탈리아에서 유래한 빵으로 폭이 넓고 길게 늘어진 모양과 부드러운 내면이 특징입니다. 외부는 바삭하고 내면은 쫀득하게 구워집니다.
35,2023-06-02,GOMDORI,BEVERAGE,카푸치노02,SOLD_OUT,/images/image/cappuccino02.png,,,100,5000,카푸치노는 에스프레소 스팀밀크 그리고 마끼아토(폼으로 된 우유)의 조합으로 만들어진 이탈리아의 전통 음료입니다. 에스프레소와 부드러운 우유 거품이 적절하게 섞여 부드럽고 부드러운 맛을 제공합니다.
36,1995-05-04,GOMDORI,BEVERAGE,카푸치노03,SOLD_OUT,/images/image/cappuccino03.png,,,100,4000,카푸치노는 에스프레소 스팀밀크 그리고 마끼아토(폼으로 된 우유)의 조합으로 만들어진 이탈리아의 전통 음료입니다. 에스프레소와 부드러운 우유 거품이 적절하게 섞여 부드럽고 부드러운 맛을 제공합니다.
37,1980-07-17,GOMDORI,BEVERAGE,커피01,SOLD_OUT,/images/image/coffee01.png,,,100,6000,"커피는 주로 아라비카(Arabica)와 로부스타(Robusta) 두 가지 주요 원두 종류로 나뉩니다. 아라비카는 미세하고 부드러운 풍미를 가지며, 로부스타는 진한 맛과 강렬한 향을 가지고 있습니다."
38,1990-12-22,GOMDORI,BEVERAGE,커피02,SOLD_OUT,/images/image/coffee02.jpg,,,100,5000,"커피는 주로 아라비카(Arabica)와 로부스타(Robusta) 두 가지 주요 원두 종류로 나뉩니다. 아라비카는 미세하고 부드러운 풍미를 가지며, 로부스타는 진한 맛과 강렬한 향을 가지고 있습니다."
39,1990-12-22,GOMDORI,BREAD,크로와상01,SOLD_OUT,/images/image/croissant_01.png,/images/image/croissant_02.png,/images/image/croissant_03.png,100,4000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
40,1980-07-26,GOMDORI,BREAD,크로와상02,SOLD_OUT,/images/image/croissant_02.png,,,100,3000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
41,2023-06-02,GOMDORI,BREAD,크로와상03,SOLD_OUT,/images/image/croissant_03.png,,,100,6000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
42,1995-05-04,GOMDORI,BREAD,크로와상04,SOLD_OUT,/images/image/croissant_04.png,,,100,5000,프랑스의 전통적인 빵으로 반죽에 여러 번 버터를 넣어 만든 빵입니다. 층층이 된 구조로 바삭하면서 부드러운 맛을 가지고 있습니다.
43,1980-07-26,GOMDORI,BREAD,프렌치 바게트 01,SOLD_OUT,/images/image/french_baguette_01.png   ,/images/image/french_baguette_02.png,/images/image/french_baguette_03.png,100,6000,프렌치 바게트는 길고 얇게 구운 프랑스의 대표적인 빵으로 바삭한 외피와 부드러운 내면이 특징입니다.
